# generation power_min power_avg power_max util_min util_avg util_max
1 10.158042 11.944126 14.107283 0.590114 0.881140 1.238335
10 10.158042 11.861932 13.949789 0.589076 0.858472 1.119321
20 9.824945 11.585963 12.930067 0.589076 0.849497 1.040447
30 9.824945 11.386214 12.458240 0.589076 0.851288 1.040447
40 9.088639 11.183778 12.303980 0.589076 0.847802 1.035398
50 9.088639 10.951482 12.063328 0.589076 0.846487 1.035398
60 9.088639 10.755932 11.916923 0.589076 0.837771 1.032158
70 9.088639 10.553944 11.763339 0.589076 0.843882 1.032158
80 9.079143 10.345509 11.493049 0.589076 0.840643 1.032158
90 8.364718 10.158004 11.191182 0.589076 0.842770 1.032158
100 8.364718 9.978853 10.959099 0.589076 0.840205 1.032158
110 8.364718 9.787140 10.836268 0.589076 0.840185 1.010688
120 8.364718 9.630070 10.633186 0.589076 0.846600 1.010688
130 8.258896 9.472170 10.392732 0.643711 0.845255 1.008317
140 7.640024 9.311528 10.194509 0.643711 0.844545 0.995593
150 7.640024 9.175885 10.007561 0.658891 0.850767 1.035008
160 7.609064 9.023670 9.838976 0.658891 0.856002 1.035008
170 7.540303 8.879724 9.733121 0.658891 0.863312 1.035008
180 7.098249 8.702184 9.572412 0.664149 0.866852 1.035008
190 7.098249 8.547455 9.370833 0.664149 0.864007 1.035008
200 7.098249 8.423047 9.224766 0.622315 0.858170 1.002977
210 7.098249 8.305044 9.079143 0.578924 0.855383 1.002977
220 7.098249 8.176963 8.884728 0.578924 0.855436 1.013446
230 6.847100 8.042119 8.752131 0.578924 0.859544 1.013446
240 6.847100 7.929478 8.621025 0.578924 0.848976 1.013446
250 6.569735 7.780617 8.540633 0.578924 0.852000 1.013446
260 6.569735 7.642023 8.375496 0.578924 0.848783 1.013446
270 6.569735 7.526841 8.251258 0.578924 0.835158 1.009714
280 6.569735 7.411535 8.110515 0.578924 0.828024 1.009714
290 6.363569 7.296841 7.976493 0.578924 0.825617 1.009714
300 6.363569 7.182539 7.760096 0.602905 0.819768 1.009714
310 6.287456 7.074855 7.640024 0.602905 0.816552 1.009714
320 6.287456 6.986751 7.524900 0.602905 0.807312 1.009714
330 6.052255 6.887544 7.339818 0.602905 0.807386 1.009714
340 5.777810 6.790625 7.264539 0.602905 0.790100 0.993836
350 5.777810 6.705326 7.220062 0.617179 0.784311 0.993836
360 5.777810 6.611962 7.140455 0.617179 0.781276 0.993836
370 5.673863 6.503655 7.053446 0.589044 0.775382 0.993836
380 5.634307 6.405384 6.955752 0.589044 0.769550 0.993836
390 5.354268 6.282971 6.847100 0.589044 0.767750 0.970523
400 5.207027 6.173967 6.675207 0.589044 0.764611 0.958615
410 5.061605 6.069161 6.573743 0.589044 0.763252 0.958615
420 5.061605 5.969156 6.527533 0.589044 0.760237 0.958615
430 5.061605 5.868664 6.425958 0.589044 0.758465 0.958615
440 4.999263 5.769203 6.353744 0.589044 0.752654 0.958615
450 4.816352 5.660481 6.287456 0.589044 0.750854 0.958615
460 4.816352 5.554473 6.199890 0.589044 0.745152 0.958615
470 4.782273 5.451892 6.046497 0.589044 0.744357 0.958615
480 4.782273 5.368613 5.895202 0.601582 0.743517 0.958615
490 4.782273 5.282172 5.726000 0.601582 0.733266 0.890965
500 4.659655 5.208154 5.659560 0.601582 0.736937 0.890965
510 4.601073 5.138981 5.547692 0.601582 0.736399 0.882575
520 4.582652 5.066043 5.428670 0.601582 0.736442 0.882575
530 4.541055 5.007086 5.347877 0.601582 0.736432 0.882575
540 4.520205 4.950583 5.289991 0.605139 0.741146 0.882575
550 4.502229 4.891610 5.232705 0.618639 0.746736 0.882575
560 4.500976 4.838374 5.180429 0.630824 0.747194 0.876381
570 4.492492 4.785008 5.105977 0.630824 0.745691 0.876381
580 4.454525 4.740477 4.999263 0.630824 0.751720 0.876381
590 4.451316 4.697587 4.919578 0.630824 0.752298 0.876381
600 4.407359 4.659564 4.860374 0.630824 0.755401 0.876381
610 4.407359 4.627766 4.816352 0.635523 0.759376 0.876381
620 4.407359 4.598582 4.782273 0.635523 0.760455 0.876381
630 4.398090 4.571697 4.753538 0.635523 0.760803 0.876381
640 4.398090 4.545363 4.711304 0.668382 0.758315 0.876381
650 4.361749 4.522025 4.655452 0.668382 0.756256 0.831737
660 4.361749 4.502881 4.627540 0.668382 0.752199 0.831737
670 4.306343 4.482318 4.601073 0.668382 0.751388 0.831737
680 4.306343 4.465322 4.550160 0.668382 0.751219 0.831737
690 4.306343 4.452078 4.527564 0.668382 0.752562 0.831737
700 4.306343 4.438296 4.502229 0.681993 0.753739 0.799423
710 4.220028 4.423448 4.485387 0.681993 0.755448 0.808937
720 4.102234 4.406275 4.483650 0.621449 0.754302 0.808937
730 4.102234 4.388688 4.474502 0.621449 0.754225 0.808937
740 4.102234 4.376295 4.455937 0.621449 0.756465 0.808937
750 4.102234 4.362061 4.451316 0.621449 0.755114 0.819872
760 4.102234 4.344004 4.434392 0.621449 0.754808 0.819872
770 4.001735 4.318600 4.422191 0.621064 0.747951 0.819872
780 4.001735 4.301894 4.403421 0.621064 0.744436 0.819872
790 4.001735 4.280243 4.398090 0.621064 0.739742 0.819872
800 4.001735 4.257448 4.372741 0.621064 0.731524 0.819872
810 4.001735 4.237500 4.366655 0.621064 0.730839 0.808937
820 4.001735 4.217175 4.353454 0.621064 0.727504 0.808937
830 4.001735 4.194963 4.323347 0.621064 0.721108 0.799131
840 4.001735 4.175711 4.304768 0.621064 0.711594 0.797056
850 4.001735 4.154750 4.280105 0.621064 0.700533 0.797056
860 4.001735 4.138329 4.246063 0.621064 0.691826 0.761612
870 4.001735 4.121832 4.210973 0.621064 0.685354 0.761612
880 4.001735 4.108387 4.187407 0.621064 0.678942 0.761612
890 4.001735 4.094074 4.186690 0.621064 0.674989 0.761612
900 4.001735 4.079209 4.159765 0.621064 0.670301 0.761612
910 4.001735 4.066895 4.141789 0.621064 0.661656 0.745756
920 4.000221 4.054623 4.122493 0.621064 0.650650 0.730971
930 3.999504 4.043410 4.102234 0.621064 0.644089 0.704094
940 3.999504 4.034877 4.101516 0.621064 0.645401 0.704094
950 3.999504 4.025402 4.088563 0.621064 0.643027 0.700408
960 3.999504 4.016823 4.087846 0.621064 0.635144 0.700408
970 3.999504 4.009263 4.054757 0.621064 0.628054 0.673531
980 3.999504 4.004003 4.054757 0.621064 0.622842 0.673531
990 3.999504 4.002370 4.003390 0.621064 0.621507 0.621795
1000 3.999504 4.002293 4.002672 0.621064 0.621489 0.621795
1010 3.999504 4.002226 4.002672 0.621064 0.621477 0.621795
1020 3.999504 4.002096 4.002672 0.621064 0.621469 0.621795
1030 3.999504 4.001939 4.002672 0.621064 0.621454 0.621795
1040 3.999504 4.001736 4.002672 0.621064 0.621445 0.621795
1050 3.999504 4.001515 4.002672 0.621064 0.621434 0.621795
1060 3.999504 4.001234 4.002672 0.621064 0.621447 0.621795
1070 3.999504 4.000955 4.002672 0.621064 0.621454 0.621795
1080 3.999504 4.000667 4.002672 0.621064 0.621469 0.621795
1090 3.999504 4.000395 4.001735 0.621064 0.621509 0.621795
1100 3.999504 4.000172 4.001735 0.621064 0.621582 0.621795
1110 3.999504 3.999963 4.001735 0.621064 0.621652 0.621795
1120 3.999504 3.999811 4.001018 0.621207 0.621711 0.621795
1130 3.999504 3.999676 4.000221 0.621652 0.621761 0.621795
1140 3.999504 3.999604 4.000221 0.621652 0.621775 0.621795
1150 3.999504 3.999533 4.000221 0.621652 0.621789 0.621795
1160 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1170 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1180 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1190 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1200 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1210 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1220 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1230 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1240 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1250 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1260 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1270 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1280 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1290 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1300 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1310 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1320 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1330 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1340 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1350 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1360 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1370 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1380 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1390 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1400 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1410 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1420 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1430 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1440 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1450 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1460 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1470 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1480 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
1490 3.999504 3.999504 3.999504 0.621795 0.621795 0.621795
