# generation power_min power_avg power_max util_min util_avg util_max
1 15.919380 18.248344 21.180436 0.198012 0.252061 0.311960
10 15.919380 17.916444 19.721634 0.198012 0.245573 0.294245
20 15.468445 17.608279 19.264149 0.192392 0.240545 0.284329
30 15.468445 17.345199 18.606005 0.192392 0.236759 0.278869
40 14.418661 17.098426 18.385462 0.174508 0.232290 0.269987
50 14.232896 16.819422 18.196883 0.163401 0.227198 0.269987
60 14.232896 16.549702 18.043304 0.163401 0.222131 0.267000
70 14.232896 16.293785 17.857515 0.163401 0.217463 0.258688
80 13.792650 16.016028 17.442718 0.163401 0.212634 0.251442
90 13.792650 15.782427 17.089268 0.163401 0.208214 0.243578
100 13.792650 15.582266 16.904761 0.163401 0.204441 0.239157
110 13.381789 15.325140 16.505914 0.158260 0.199929 0.230466
120 13.217671 15.119167 16.184955 0.158260 0.196358 0.230466
130 13.217671 14.947290 15.976421 0.156286 0.192521 0.225484
140 12.827758 14.755116 15.774526 0.156286 0.188740 0.217733
150 12.741988 14.552165 15.600484 0.156286 0.184910 0.213763
160 12.645715 14.357363 15.464188 0.156286 0.181865 0.213763
170 12.419161 14.130073 15.292239 0.149696 0.178231 0.213763
180 12.018003 13.906279 15.157376 0.149521 0.174750 0.213763
190 12.018003 13.725701 14.997488 0.149521 0.171732 0.200260
200 12.018003 13.546866 14.623716 0.147615 0.169113 0.194374
210 11.874348 13.368204 14.418661 0.144416 0.166342 0.190265
220 11.874348 13.179437 14.256565 0.144416 0.163652 0.185964
230 11.836951 13.040528 13.977875 0.144416 0.162810 0.185964
240 11.836951 12.902035 13.769230 0.144416 0.161206 0.185964
250 11.760839 12.763081 13.572566 0.144416 0.159882 0.178580
260 11.760839 12.635423 13.388589 0.144416 0.158753 0.175671
270 11.395176 12.486749 13.338834 0.136287 0.156743 0.175671
280 11.182061 12.343914 13.110246 0.136287 0.154922 0.173176
290 10.988355 12.209980 12.879649 0.131482 0.152743 0.164888
300 10.988355 12.099195 12.727919 0.131482 0.151304 0.162440
310 10.988355 11.996201 12.593214 0.127659 0.149639 0.162440
320 10.969868 11.889616 12.500247 0.127500 0.147995 0.161362
330 10.750145 11.766040 12.400270 0.125547 0.145725 0.161362
340 10.721444 11.653367 12.304548 0.124284 0.143812 0.159596
350 10.673011 11.537943 12.148948 0.124039 0.141584 0.158470
360 10.554680 11.422398 12.069502 0.114393 0.139254 0.155568
370 10.554680 11.317705 11.922359 0.114393 0.137424 0.155212
380 10.554680 11.235765 11.792608 0.114393 0.135863 0.155212
390 10.527444 11.137394 11.663680 0.109638 0.133768 0.149781
400 9.985794 11.038417 11.530068 0.106592 0.131703 0.149781
410 9.985794 10.948586 11.460030 0.106592 0.129748 0.143998
420 9.985794 10.853925 11.375602 0.106592 0.127736 0.142859
430 9.985794 10.766975 11.259252 0.106592 0.126350 0.139938
440 9.841493 10.677821 11.084510 0.106592 0.124697 0.136407
450 9.841493 10.617390 11.005806 0.106592 0.123839 0.136407
460 9.775595 10.538282 10.931126 0.105266 0.122293 0.135645
470 9.574966 10.458806 10.850262 0.105266 0.121116 0.131490
480 9.574966 10.380102 10.776884 0.105266 0.119743 0.131490
