# generation power_min power_avg power_max util_min util_avg util_max
1 33.507592 33.507592 33.507592 1.457391 1.490602 1.499776
10 32.891493 32.891493 32.891493 1.321643 1.481750 1.499776
20 33.689723 33.689723 33.689723 1.223139 1.471356 1.499776
30 34.009080 34.009080 34.009080 1.083868 1.458825 1.499776
40 34.009080 34.009080 34.009080 1.083868 1.444859 1.499696
50 34.114987 34.114987 34.114987 1.083868 1.421811 1.499696
60 34.114987 34.114987 34.114987 1.083868 1.400214 1.499696
70 34.162390 34.162390 34.162390 1.083868 1.379704 1.499696
80 34.162390 34.162390 34.162390 1.083868 1.351427 1.499696
90 34.785798 34.785798 34.785798 1.072647 1.321190 1.496639
100 34.785798 34.785798 34.785798 1.061178 1.288485 1.496639
110 34.785798 34.509038 34.785798 0.996958 1.253371 1.480962
120 34.975783 34.509038 34.975783 0.996958 1.223315 1.427350
130 35.818016 34.931140 35.818016 0.947220 1.192484 1.379058
140 35.818016 34.931140 35.818016 0.947220 1.165920 1.330737
150 35.818016 34.931140 35.818016 0.947220 1.141644 1.289430
160 35.818016 34.941110 35.818016 0.947220 1.116658 1.267446
170 35.818016 34.939088 35.818016 0.947220 1.097818 1.213165
180 35.818016 34.822538 35.818016 0.947220 1.080366 1.181722
190 35.818016 34.812888 35.818016 0.947220 1.065956 1.167521
200 35.818016 34.853545 35.818016 0.930458 1.049154 1.150252
210 35.818016 34.842662 35.818016 0.930458 1.037002 1.107224
220 35.394188 34.864892 35.394188 0.930458 1.026502 1.098985
230 35.394188 34.841578 35.394188 0.930458 1.017492 1.092631
240 35.394188 34.813737 35.394188 0.930458 1.009260 1.072215
250 35.394188 34.797986 35.394188 0.930458 1.000863 1.061429
260 35.394188 34.775150 35.394188 0.930458 0.994021 1.059700
270 35.394188 34.747854 35.394188 0.930458 0.988718 1.025512
280 35.394188 34.733806 35.394188 0.930458 0.986045 1.017471
290 35.072409 34.681227 35.072409 0.934830 0.987185 1.009913
300 34.954715 34.630009 34.954715 0.934830 0.987351 1.006945
310 34.845910 34.574366 34.845910 0.934830 0.988044 1.007498
320 34.785886 34.501398 34.785886 0.962456 0.988896 1.007498
330 34.750541 34.458308 34.750541 0.960957 0.989857 1.007498
340 34.682757 34.386784 34.682757 0.960957 0.990616 1.007498
350 34.633904 34.346227 34.633904 0.960957 0.991399 1.007498
360 34.561158 34.286347 34.561158 0.960957 0.991538 1.007498
370 34.509038 34.227884 34.509038 0.960957 0.992895 1.007498
380 34.504938 34.158893 34.504938 0.960957 0.992546 1.007498
390 34.451764 34.067957 34.451764 0.970843 0.993922 1.007498
400 34.425754 33.988466 34.425754 0.970843 0.993664 1.006674
410 34.373934 33.927352 34.373934 0.975852 0.993620 1.006674
420 34.233196 33.855425 34.233196 0.982389 0.994328 1.006674
430 34.114389 33.813555 34.114389 0.982389 0.994160 1.006674
440 34.070990 33.757025 34.070990 0.982779 0.995346 1.006674
450 34.018156 33.709700 34.018156 0.982779 0.995422 1.006674
460 33.894074 33.686380 33.894074 0.982779 0.995246 1.006674
470 33.874143 33.658953 33.874143 0.982779 0.995935 1.006674
480 33.847788 33.632521 33.847788 0.982779 0.996792 1.006674
490 33.707348 33.610924 33.707348 0.982779 0.996715 1.001560
500 33.671427 33.601149 33.671427 0.982779 0.997925 1.001560
510 33.642985 33.590669 33.642985 0.993471 0.998692 1.001560
520 33.600110 33.585501 33.600110 0.994778 0.998866 1.000803
530 33.600110 33.580296 33.600110 0.994778 0.999133 1.000803
540 33.600110 33.574021 33.600110 0.994778 0.999453 1.000803
550 33.600110 33.566683 33.600110 0.994778 0.999738 1.000803
560 33.600110 33.551489 33.600110 0.994778 1.000053 1.000803
570 33.554045 33.532925 33.554045 0.994778 1.000455 1.000803
580 33.521136 33.521136 33.521136 0.999647 1.000611 1.000803
590 33.521136 33.521136 33.521136 0.999647 1.000584 1.000803
600 33.521136 33.521136 33.521136 0.999647 1.000556 1.000803
610 33.521136 33.521136 33.521136 0.999647 1.000529 1.000803
620 33.521136 33.521136 33.521136 0.999647 1.000501 1.000803
630 33.521136 33.521136 33.521136 0.999647 1.000474 1.000803
640 33.521136 33.521136 33.521136 0.999647 1.000492 1.000527
650 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
660 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
670 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
680 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
690 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
700 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
710 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
720 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
730 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
740 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
750 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
760 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
770 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
780 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
790 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
800 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
810 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
820 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
830 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
840 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
850 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
860 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
870 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
880 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
890 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
900 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
910 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
920 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
930 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
940 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
950 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
960 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
970 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
980 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
990 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1000 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1010 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1020 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1030 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1040 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1050 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1060 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1070 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1080 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1090 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1100 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1110 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1120 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1130 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1140 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1150 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1160 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1170 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1180 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1190 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1200 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1210 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1220 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1230 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1240 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1250 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1260 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1270 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1280 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1290 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1300 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1310 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1320 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1330 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1340 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1350 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1360 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1370 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1380 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1390 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1400 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1410 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1420 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1430 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1440 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1450 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1460 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1470 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1480 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1490 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1500 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1510 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1520 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1530 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1540 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1550 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1560 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1570 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1580 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1590 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1600 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1610 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1620 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1630 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1640 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1650 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1660 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1670 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1680 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1690 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1700 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1710 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1720 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1730 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1740 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1750 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1760 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1770 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1780 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1790 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1800 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1810 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1820 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1830 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1840 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1850 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1860 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1870 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1880 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1890 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1900 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1910 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1920 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1930 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1940 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1950 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1960 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1970 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1980 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
1990 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2000 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2010 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2020 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2030 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2040 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2050 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2060 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2070 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2080 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2090 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2100 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2110 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2120 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2130 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2140 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2150 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2160 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2170 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2180 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2190 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2200 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2210 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2220 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2230 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2240 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2250 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2260 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2270 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2280 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2290 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2300 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2310 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2320 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2330 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2340 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2350 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2360 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2370 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2380 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2390 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2400 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2410 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2420 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2430 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2440 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2450 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2460 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2470 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2480 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2490 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2500 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2510 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2520 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2530 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2540 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2550 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2560 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2570 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2580 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2590 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2600 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2610 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2620 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2630 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2640 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2650 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2660 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2670 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2680 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2690 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2700 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2710 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2720 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2730 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2740 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2750 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2760 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2770 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2780 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2790 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2800 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2810 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2820 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2830 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2840 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2850 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2860 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2870 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2880 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2890 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2900 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2910 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2920 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2930 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2940 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2950 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
2960 33.445183 33.445183 33.445183 1.000527 1.000527 1.000527
