# generation power_min power_avg power_max util_min util_avg util_max
1 37.992527 37.992527 37.992527 1.019523 1.455763 1.499945
10 37.680359 37.680359 37.680359 1.019523 1.431186 1.499945
20 37.680359 23.007599 37.680359 0.913843 1.404062 1.499945
30 36.795913 20.205079 36.795913 0.908635 1.370684 1.499592
40 36.795913 18.467783 36.795913 0.908635 1.328402 1.499592
50 36.795913 17.906434 36.795913 0.873448 1.289517 1.499285
60 30.769424 17.664759 30.769424 0.869276 1.246498 1.497537
70 27.722505 17.765093 27.722505 0.869276 1.207521 1.497126
80 23.144343 17.244546 23.144343 0.857784 1.160068 1.488284
90 14.043960 16.759188 23.144343 0.810718 1.112429 1.483775
100 13.704752 16.636755 23.007599 0.810718 1.074252 1.483775
110 23.007599 16.417921 23.007599 0.810718 1.037937 1.445890
120 23.007599 16.319144 23.007599 0.810718 1.012337 1.368295
130 19.713233 16.065723 19.713233 0.810718 0.988121 1.227212
140 18.981506 15.964730 18.981506 0.810718 0.972164 1.181577
150 18.303140 15.701159 18.303140 0.742787 0.960056 1.160712
160 17.415300 15.373271 17.415300 0.742787 0.949688 1.057879
170 16.703043 15.049387 16.703043 0.727992 0.944553 1.057879
180 12.462458 14.702317 16.386794 0.727992 0.941666 1.052256
190 12.462458 14.489158 15.936132 0.727992 0.937716 1.044644
200 12.462458 14.252897 15.602783 0.727992 0.932280 1.044644
210 12.169390 14.037375 15.264230 0.727992 0.928517 1.044644
220 12.169390 13.833324 15.053138 0.727992 0.926092 1.044644
230 12.169390 13.607236 14.823951 0.727992 0.928553 1.029442
240 11.893140 13.359154 14.624983 0.727992 0.926629 1.029442
250 11.697606 13.151115 14.430227 0.727992 0.923494 1.029442
260 11.525092 12.939102 14.153054 0.727992 0.924686 1.029442
270 11.525092 12.729388 13.751136 0.727992 0.925642 1.029442
280 13.575567 12.582584 13.575567 0.750052 0.926592 1.029442
290 11.209201 12.438296 13.379292 0.701132 0.924091 1.029043
300 11.209201 12.308922 13.156494 0.701132 0.923945 1.029043
310 10.868400 12.185541 12.964349 0.701132 0.918945 1.029043
320 10.868400 12.052654 12.765990 0.701132 0.913532 1.029043
330 10.674741 11.918001 12.557624 0.701132 0.910196 1.029043
340 10.573522 11.796087 12.449488 0.701132 0.906831 1.029043
350 10.573522 11.653840 12.393948 0.701132 0.898654 1.029043
360 10.309016 11.517501 12.206886 0.701132 0.888347 1.029043
370 9.811749 11.342467 12.124693 0.701132 0.887251 1.029043
380 9.811749 11.195144 12.014079 0.684561 0.879643 1.007084
390 9.799094 11.042368 11.893140 0.684561 0.871659 1.007084
400 9.662027 10.881190 11.742541 0.684561 0.864588 1.007084
410 9.662027 10.743741 11.473678 0.684561 0.856598 1.007084
420 9.298873 10.610740 11.299802 0.681278 0.850660 1.007047
430 9.298873 10.492574 11.217241 0.681278 0.848056 1.012588
440 11.094139 10.362112 11.094139 0.681278 0.851076 1.024430
450 9.037967 10.199738 10.940974 0.681278 0.847996 1.024430
460 9.037967 10.048292 10.806180 0.681278 0.846092 1.024430
470 8.437837 9.913880 10.645933 0.681278 0.845573 1.024430
480 8.437837 9.785989 10.545664 0.681278 0.844534 1.024430
490 8.437837 9.659731 10.391424 0.692666 0.854198 1.024430
500 8.437837 9.528972 10.265027 0.666737 0.852508 1.024430
510 8.388559 9.403954 10.122862 0.666737 0.842796 1.024430
520 8.231136 9.278105 9.963361 0.666737 0.843688 1.024430
530 8.231136 9.169298 9.824515 0.666737 0.839383 1.024430
540 8.185930 9.057834 9.698008 0.666737 0.837490 1.024430
550 8.038289 8.958204 9.495747 0.666737 0.831953 1.000289
560 8.038289 8.862414 9.374506 0.711668 0.828549 1.000289
570 8.038289 8.774418 9.283496 0.711668 0.824940 1.000289
580 7.814259 8.684996 9.150222 0.735849 0.821875 1.000289
590 7.814259 8.588935 9.150222 0.735849 0.817475 1.000289
600 7.814259 8.495184 9.029350 0.735849 0.811190 1.000289
610 7.625531 8.394130 8.919341 0.735849 0.808425 1.000289
620 7.625531 8.316150 8.823327 0.737547 0.806289 1.000289
630 7.466077 8.222114 8.726722 0.737547 0.803131 1.000289
640 7.466077 8.140197 8.687826 0.737547 0.800698 1.000289
650 7.466077 8.082630 8.448477 0.737547 0.797032 0.963090
660 7.466077 8.016473 8.351155 0.744477 0.793876 0.938681
670 7.466077 7.963688 8.314603 0.744477 0.794420 0.938681
680 7.309406 7.900535 8.232043 0.740345 0.790275 0.870711
690 7.309406 7.840683 8.161057 0.733770 0.788383 0.870711
700 7.309406 7.792906 8.099520 0.733770 0.787054 0.870711
710 7.209599 7.734608 8.029414 0.733770 0.784032 0.870711
720 7.209599 7.681759 7.993281 0.733770 0.778245 0.808717
730 7.209599 7.635398 7.915277 0.733770 0.775258 0.797000
740 7.209599 7.601647 7.814259 0.733770 0.772621 0.797000
750 7.209599 7.561519 7.814104 0.733770 0.770192 0.797000
760 7.209599 7.523397 7.713829 0.733770 0.767030 0.797000
770 7.147894 7.485876 7.713829 0.733770 0.764298 0.797000
780 7.147894 7.444083 7.713829 0.733770 0.760411 0.797000
790 7.147894 7.404980 7.641208 0.733770 0.756426 0.797000
800 7.147894 7.372339 7.588198 0.733770 0.752114 0.795804
810 7.147894 7.339791 7.545565 0.733770 0.751289 0.795622
820 7.147894 7.315450 7.466077 0.740345 0.750037 0.787605
830 7.147894 7.292508 7.413350 0.740162 0.747921 0.787605
