# generation power_min power_avg power_max util_min util_avg util_max
1 48.500414 49.087344 50.034352 0.896291 0.926423 0.949791
10 48.402057 48.992177 49.566525 0.906401 0.929316 0.949791
20 48.378408 48.908819 49.360593 0.913189 0.931991 0.949791
30 48.378408 48.839701 49.212194 0.913189 0.934127 0.949938
40 48.100846 48.770842 49.149802 0.917309 0.936410 0.958749
50 48.100846 48.709492 49.072901 0.917632 0.938475 0.958749
60 48.060049 48.651770 48.954518 0.917632 0.940270 0.962079
70 48.060049 48.593537 48.912645 0.926289 0.942046 0.962079
80 48.060049 48.544928 48.875664 0.926289 0.943067 0.962079
90 47.856111 48.490925 48.814278 0.929332 0.944613 0.967637
100 47.856111 48.442698 48.712694 0.929332 0.945779 0.967637
110 47.856111 48.401719 48.640604 0.930499 0.947036 0.967637
120 47.856111 48.352992 48.576136 0.934516 0.948515 0.968006
130 47.854524 48.296352 48.541722 0.934516 0.950365 0.970714
140 47.703545 48.247673 48.517710 0.935334 0.952166 0.975546
150 47.703545 48.197215 48.473129 0.936569 0.953877 0.975546
160 47.703545 48.144395 48.411258 0.939230 0.955639 0.975774
170 47.703545 48.096021 48.380554 0.939230 0.957513 0.975774
180 47.703545 48.046156 48.347321 0.939982 0.959266 0.975774
190 47.615653 47.997488 48.282504 0.946517 0.961145 0.975774
200 47.615653 47.952292 48.166646 0.950593 0.962809 0.976470
210 47.584050 47.913163 48.147519 0.950593 0.964321 0.976470
220 47.584050 47.877262 48.098632 0.952964 0.965400 0.976470
230 47.584050 47.843879 48.058441 0.953450 0.966683 0.977039
240 47.584050 47.813154 47.976994 0.959469 0.967971 0.977039
250 47.509980 47.788000 47.935426 0.959469 0.968684 0.977985
260 47.459294 47.760147 47.902841 0.962406 0.969611 0.977985
270 47.459294 47.734384 47.856111 0.963106 0.970337 0.977985
280 47.459294 47.711213 47.840850 0.964114 0.971099 0.977985
290 47.457823 47.684477 47.815441 0.965079 0.971840 0.982678
300 47.420981 47.661486 47.806211 0.967213 0.972795 0.982678
310 47.420981 47.632729 47.781904 0.967213 0.973673 0.982678
320 47.290673 47.598584 47.758644 0.967264 0.974723 0.987006
330 47.290673 47.569935 47.712702 0.968679 0.975705 0.987006
340 47.290673 47.539723 47.704396 0.969291 0.976835 0.987006
350 47.255434 47.508461 47.679091 0.970823 0.977796 0.987006
360 47.233636 47.478114 47.634822 0.973074 0.978749 0.988789
370 47.233636 47.445958 47.608603 0.973074 0.979660 0.988789
380 47.233636 47.416439 47.586916 0.973074 0.980638 0.988789
390 47.213337 47.388677 47.557040 0.973768 0.981434 0.988789
400 47.193944 47.361457 47.509980 0.976125 0.982367 0.988789
410 47.193944 47.335763 47.484781 0.976125 0.983074 0.988789
420 47.193944 47.316244 47.445312 0.977514 0.983706 0.988789
430 47.188922 47.296040 47.420981 0.977514 0.984432 0.988789
440 47.179962 47.278264 47.400681 0.977514 0.985009 0.989950
450 47.144531 47.262340 47.348869 0.979189 0.985570 0.989950
460 47.144531 47.249636 47.348869 0.979189 0.986148 0.989950
470 47.073732 47.235631 47.328569 0.979628 0.986550 0.990069
480 47.073732 47.225255 47.255434 0.983470 0.986846 0.990069
490 47.073732 47.218081 47.247618 0.983470 0.986943 0.990069
500 47.070266 47.210696 47.247618 0.983470 0.987067 0.990246
510 47.033749 47.198937 47.247618 0.983470 0.987261 0.990502
520 47.033749 47.187535 47.247618 0.983470 0.987422 0.990502
530 47.031299 47.174231 47.247618 0.983470 0.987659 0.990502
540 47.008696 47.160340 47.233636 0.984909 0.988197 0.992961
550 47.008696 47.142902 47.227318 0.984909 0.988448 0.992961
560 47.008696 47.128050 47.221152 0.985360 0.988820 0.992961
570 47.008696 47.111423 47.193944 0.985360 0.989212 0.992961
580 46.999823 47.096675 47.192438 0.985360 0.989459 0.992961
590 46.994715 47.082039 47.163387 0.985360 0.989783 0.995021
600 46.985842 47.068098 47.158157 0.985360 0.990130 0.995021
610 46.985842 47.055651 47.124231 0.987420 0.990526 0.995021
620 46.985842 47.043971 47.118123 0.987853 0.991034 0.995021
630 46.985842 47.032600 47.090566 0.987853 0.991317 0.995021
640 46.985842 47.023962 47.084248 0.987853 0.991703 0.995021
650 46.985842 47.016072 47.070266 0.989411 0.991915 0.995021
660 46.985842 47.008135 47.033749 0.989411 0.992044 0.995021
670 46.965521 47.003381 47.031299 0.989411 0.992381 0.995021
680 46.965521 46.999563 47.019768 0.989411 0.992562 0.995021
690 46.936366 46.995942 47.019768 0.989411 0.992587 0.995021
700 46.936366 46.992476 47.019768 0.989411 0.992573 0.995021
710 46.936366 46.989163 47.008696 0.989411 0.992553 0.995021
720 46.911313 46.986550 46.999823 0.989411 0.992735 0.996624
730 46.911313 46.983812 46.994715 0.991471 0.992745 0.996624
740 46.911313 46.982722 46.994715 0.991471 0.992422 0.996624
750 46.911313 46.980683 46.994715 0.991471 0.992180 0.996624
