Workload Section Power Util CPU_Power Memory_Power Network_Power Offloading_Ratio CPU_Frequency_1 CPU_Frequency_0.5 CPU_Frequency_0.25 CPU_Frequency_0.125
0.1 CO-DMO-CT 2.32 .18 .46 1.69 .16 .75 11.00 21.00 24.00 44.00 
0.1 CO-DMO 2.54 .18 .61 1.77 .16 .71 13.00 21.00 34.00 32.00 
0.1 Offloading 3.37 .02 2.19 1.04 .14 .75 100.00 0 0 0 
0.1 DVS 3.72 .64 2.14 1.58 0 0 7.00 19.00 23.00 51.00 
0.1 Baseline 8.28 .11 6.00 2.27 0 0 100.00 0 0 0 
0.2 CO-DMO-CT 2.79 .32 .86 1.62 .30 .78 11.00 23.00 30.00 36.00 
0.2 CO-DMO 2.42 .21 .65 1.39 .37 .85 14.00 18.00 31.00 37.00 
0.2 Offloading 5.76 .05 3.31 2.10 .34 .80 100.00 0 0 0 
0.2 DVS 6.19 1.00 5.33 .85 0 0 10.00 24.00 42.00 24.00 
0.2 Baseline 13.11 .23 11.63 1.47 0 0 100.00 0 0 0 
0.3 CO-DMO-CT 3.58 .57 1.14 1.96 .47 .77 14.00 21.00 25.00 40.00 
0.3 CO-DMO 3.38 .41 1.23 1.63 .51 .79 15.00 23.00 30.00 32.00 
0.3 Offloading 6.70 .07 4.52 1.67 .49 .80 100.00 0 0 0 
0.3 DVS 13.08 .99 10.71 2.36 0 0 26.00 33.00 35.00 6.00 
0.3 Baseline 19.00 .36 17.41 1.58 0 0 100.00 0 0 0 
0.4 CO-DMO-CT 4.65 .67 2.04 1.98 .63 .77 10.00 21.00 32.00 37.00 
0.4 CO-DMO 3.99 .62 1.35 1.93 .71 .79 12.00 17.00 32.00 39.00 
0.4 Offloading 8.60 .10 5.51 2.24 .84 .81 100.00 0 0 0 
0.4 DVS 18.35 1.00 16.18 2.16 0 0 33.00 44.00 23.00 0 
0.4 Baseline 25.09 .50 23.54 1.54 0 0 100.00 0 0 0 
0.5 CO-DMO-CT 5.42 .79 1.73 2.71 .96 .79 17.00 19.00 26.00 38.00 
0.5 CO-DMO 5.09 .61 1.78 2.34 .96 .83 17.00 20.00 26.00 37.00 
0.5 Offloading 10.35 .12 6.73 2.73 .88 .79 100.00 0 0 0 
0.5 DVS 28.95 1.00 25.09 3.86 0 0 61.00 26.00 13.00 0 
0.5 Baseline 30.34 .61 28.55 1.79 0 0 100.00 0 0 0 
0.6 CO-DMO-CT 6.17 .90 2.78 2.34 1.04 .79 16.00 19.00 31.00 34.00 
0.6 CO-DMO 5.92 .61 1.65 3.07 1.19 .85 9.00 27.00 32.00 32.00 
0.6 Offloading 9.90 .12 6.69 1.94 1.26 .84 100.00 0 0 0 
0.6 DVS 33.44 1.00 30.63 2.80 0 0 73.00 22.00 5.00 0 
0.6 Baseline 35.47 .74 34.31 1.16 0 0 100.00 0 0 0 
0.7 CO-DMO-CT 7.04 .75 3.46 2.34 1.24 .82 24.00 26.00 33.00 17.00 
0.7 CO-DMO 9.51 .96 5.15 2.97 1.39 .73 23.00 23.00 32.00 22.00 
0.7 Offloading 12.24 .15 8.05 2.80 1.38 .83 100.00 0 0 0 
0.7 DVS 39.02 .99 35.01 4.00 0 0 80.00 16.00 4.00 0 
0.7 Baseline 41.60 .87 39.99 1.61 0 0 100.00 0 0 0 
0.8 CO-DMO-CT 9.48 .91 5.07 2.76 1.63 .78 13.00 28.00 35.00 24.00 
0.8 CO-DMO 11.40 .96 6.86 3.03 1.50 .73 37.00 25.00 20.00 18.00 
0.8 Offloading 13.20 .17 8.95 2.82 1.42 .83 100.00 0 0 0 
0.8 DVS 46.77 .99 43.38 3.38 0 0 94.00 6.00 0 0 
0.8 Baseline 46.91 .99 45.60 1.30 0 0 100.00 0 0 0 
0.9 CO-DMO-CT 14.76 .93 10.54 2.71 1.50 .71 35.00 31.00 21.00 13.00 
0.9 CO-DMO 11.99 .97 7.75 2.89 1.34 .74 32.00 21.00 28.00 19.00 
0.9 Offloading 14.11 .20 10.10 2.20 1.79 .83 100.00 0 0 0 
0.9 DVS 53.96 1.00 48.16 5.79 0 0 100.00 0 0 0 
0.9 Baseline 56.02 1.00 48.90 7.12 0 0 100.00 0 0 0 
